question,1,2,3,4,answer
We at TPG Financial Planning welcome the opportunity to assist you in your business and look forward to a ___ beneficial relationship.,mutually,punctually,respectively,precisely,mutually
Customers unhappy with the performance of their stereo equipment have two months to request a refund or ___ .,complaint,receipt,replacement,promotion,replacement
The division manager revised the report because the language in it was too ___ .,repetitive,repeating,repetition,repeat,repetitive
Dr. Suzuki arrived for the awards ceremony on time ___ her train had left twenty minutes late.,as if,even though,while,because,even though
Mr. Lee's conciliatory comments appear to have been ___ by some of his readers.,misinterpret,misinterpreted,misinterpretation,misinterpreting,misinterpreted
"Nonaka Consultancy's strength lies in its accomplished team of data analysts, and ___ the company highlights its analytic services when seeking new clients.",therefore,now that,in case,otherwise,therefore
Plans are under way ___ the extension of the San Pedro Valley water pipeline.,for,next,while,onto,for
The sales representatives consider the size of the space before recommending an ___ air-conditioning system.,enlisted,opportune,intentional,appropriate,appropriate
Patients who wish to reschedule their ___ must give at least 24 hours advance notice.,appointments,positions,assignments,subscriptions,appointments
"All shipments arrive at the receiving dock, where a warehouse worker checks ___ tracking labels.",theirs,they,them,their,their
"Because this document contains confidential information, please keep it in a ___ location.",cautious,secure,distinguished,strict,secure
Fred's superb ___ to detail is his best attribute as a graphic artist.,attends,attended,attendant,attention,attention
Please indicate on the envelope whether you would prefer regular ___ deluxe photo processing for your film.,so,nor,and,or,or
The decision to hire ___ help was based largely on the concerns expressed by the employees.,addition,additions,additional,additionally,additional
National Bank officials announced that they have taken the necessary steps to ___ another computer system failure.,upgrade,ignore,prevent,improve,prevent
All ___ to the auto production plant must register at the security checkpoint before entering.,visit,visitation,visitors,visiting,visitors
"In an effort to reduce ___ , Barsom Cosmetics has halved its advertising budget.",values,expenses,customs,refunds,expenses
The advertising team made an ___ recovery from a late start to finish the project a week ahead of schedule.,amaze,amazing,amazement,amazingly,amazing
"The proposal for the parking garage was due yesterday, ___ the program director has agreed to a short extension.",but,beyond,until,that,but
We will have to inform Mr. Yamamoto that ___ application cannot be accepted at this time.,he,himself,his,him,his
"After the meeting with the accountant, Mr. Mitchell was ___ able to complete the budget report.",lastly,at first,finally,meanwhile,finally
Critics of the recent movie with Michelle Zhao have called the plot too ___ .,predicting,predicted,predictable,predictably,predictable
Ms. Rivera made it clear that ___ the landowner may authorize improvements to the property.,only,easily,simply,merely,only
The management of Eurosan Enterprises is in the process of ___ a new set of guidelines for customer service.,establish,establishes,established,establishing,establishing
"If you would like to be considered for a position in our advertising division, please ___ an application to the director of human resources.",comply,submit,urge,advise,submit
"The plant supervisor, Mr. Lee, recently ___ a tour of the company's main production facility for our clients.",conduct,conducted,to conduct,will conduct,conducted
"If you require additional information about our products, please do not ___ to contact the customer service department.",provide,qualify,hesitate,compete,hesitate
Mr. Lopez travels ___ for business and uses the corporate accounts at hotels as well as car rental agencies.,regular,regularly,regularity,regulate,regularly
"Each month, we will select five outstanding employees to be honored ___ their exceptional contributions to the company's performance.",for,at,across,over,for
"According to Star Watch magazine, singer-songwriter Kylie Norton has announced her upcoming ___ in a charity concert.",participate,participated,participating,participation,participation
Customers who cannot call the service department during normal business hours may leave a message ___ our answering service.,with,off,from,by,with
Applicants for the position of store manager must have at least five years of experience in ___ sales.,retailing,retailer,retailed,retail,retail
"Our company believes that employees should always work hard, yet they must ___ have time for their families.",altogether,also,alone,almost,also
Our store offers a complete line of computer software packages for ___ personal and business applications.,every,both,either,whether,both
"According to the commerce report released today, retail sales in apparel declined in August after a significant ___ in July.",increase,impression,access,accent,increase
The president of Tennom Advertising ___ announces the cancellation of plans to open an office in Toronto.,regretful,regretfully,regretting,regretted,regretfully
The International Society of Economists will ___ leadership to develop and launch a collection of electronic journals.,remain,serve,grant,provide,provide
"After the current model year, the automobile manufacturer CFG ___ three older models and introduce two new ones.",to discontinue,will discontinue,discontinued,have discontinued,will discontinue
Personnel must sign the register ___ removing any confidential papers from the organization's vaults.,before,until,from,during,before
"In addition to ___ recent phone numbers, the new IF20 mobile phone shows the temperature, the time, and the user's location on a map.",displayed,displaying,display,displays,displaying
Tomorrow's training is ___ for employees who have been with the company for less than one year.,based,intended,agreed,invited,intended
Tenants should call the property owner directly ___ problems with heating or plumbing are not resolved by the on-site manager.,if,why,due to,about,if
"___ the probationary three months are completed, employees will be eligible for full company benefits.",Soon,Then,Later,Once,Once
Tappan Literature Foundation is soliciting ___ for this year's best youth novelist.,nominate,nominations,nominating,to have nominated,nominations
The new graphic design software program has improved the quality of the designers' work as well as their ___ .,economies,harvest,measures,productivity,productivity
The names of the department heads to ___ the monthly reports should be sent are located on the last page of the manual.,whoever,whom,what,where,whom
Sinna Motors' sales figures this year were nearly ___ to those recorded in the company's most successful period five years ago.,equal,uniform,even,fair,equal
"NJC Surveys recently determined that, despite advances in audio technology, it is still ___ through radio broadcasts that listeners are exposed to new music.",predominant,predominantly,predominating,predominated,predominantly
The ___ for the MacNeill project is hanging on the wall in the first floor conference room.,schedule,scheduled,schedules,schedulers,schedule
"When Howland Bakery first began using larger trucks for delivery, all of them were ___ white and brown.",changed,painted,alternated,transferred,painted
Staff members who work with chemicals should remember to be ___ and always wear protective gear in the lab.,cautious,caution,cautiously,cautiousness,cautious
Neither taking photographs ___ eating is allowed in the theater.,or,nor,and,neither,nor
The display panel has been designed to ensure that the warning lights are ___ visible.,clearness,clear,clearly,clearest,clearly
"Even after the stadium's renovation, some seats remain ___ pillars that partially obstruct the view.",over,behind,within,down,behind
"In order to ___ the editing work, the review team will need at least two more days.",finish,finishing,finished,be finished,finish
"Because our supplies are ___ , we can only make this offer to the first fifty customers who come to the store.",limited,speedy,available,presentable,limited
Polabian Bank signed an ___ for the financing of the A2 highway connecting Bistrica and Nove Pola.,agrees,agreement,agreements,agreed,agreement
"Due to technical problems, Nelson's Electronic Auctions is ___ not accepting any picture submissions via e-mail.",quickly,currently,precisely,temperately,currently
"In order for Mr. Song's group to complete the data collection project on time, ___ will need even more administrative support.",us,we,our,ourselves,we
"To avoid leaving anyone behind, the tour operator ___ all the visitors to be in the front lobby by 7 A.M.",recalled,memorized,reminded,identified,reminded
"Please use the color printer sparingly, since the ink cartridges it requires ___ currently unavailable.",are,is,been,being,are
"Our ___ is not to offer refunds to customers unless they return the item, accompanied by a receipt, within 30 days of the purchase date.",policy,adoption,exhibit,regard,policy
The students enrolled in the painting course at the Model Art School have worked ___ hard over the past year.,exceptionally,exception,exceptional,except,exceptionally
The faculty committee will distribute funds from the research grant ___ its various science departments.,toward,among,after,during,among
Arten Publishing has experienced an average annual growth of over 7 percent in sales ___ it went public twenty years ago.,if,since,how,than,since
"The fax machine is out of service, and an experienced ___ has been called in to see if it can be repaired.",technician,factory,certificate,generator,technician
With ___ new building and expanded hours. First Bank of Stubenville is once again ahead of the competition.,them,they,its,itself,its
We require all visitors to ___ photo identification prior to entering the building.,notify,assign,permit,present,present
Employment applications must be filled out ___ before being submitted to J&J Enterprises.,complete,completes,completed,completely,completely
"Workshop participants may choose any seat in the auditorium except those in the front row, which are ___ for the presenters.",chaired,reserved,substituted,performed,reserved
Any employee working late on a Friday must remember to turn off all computer equipment ___ leaving for the night.,until,then,before,because,before
"Super Discounts, Inc., reserves the ___ to limit quantities of certain sale items purchased by each customer.",importance,right,goal,selection,right
Hatfield Sporting Goods returned the ___ merchandise to the manufacturer.,defect,defective,defects,defectively,defective
"While the accounting department is closed, all billing questions will be ___ by the customer service department.",expired,handled,replied,attended,handled
The executive board sent out a reminder to division heads that all contracts must be ___ reviewed by the legal department before they are signed.,rigor,rigors,rigorous,rigorously,rigorously
"Next to the Rostovsky Hotel is a luxurious recreational area, complete ___ a golf course and a swimming pool.",across,beside,with,from,with
All orders for office supplies must be ___ to Ms. Reaton by Thursday at noon.,submitting,submit,submitted,submission,submitted
"After three years of intense negotiation, Megali Corporation and Liggman Industries have ___ agreed on the terms of their merger.",since,soon,yet,finally,finally
Please accept the ___ coupon book as thanks for opening your personal savings account with South Branch Bank.,enclose,enclosed,enclosing,enclosure,enclosed
Baxter Consulting intends to combine information from various sources in order to provide a single ___ directory of local businesses.,variable,apparent,redundant,comprehensive,comprehensive
"In order to ___ overseas clients, the Majeski Group will open offices in both Europe and Asia.",accommodation,accommodates,accommodate,accommodating,accommodate
"The training class on Internet security begins ___ at 8:00 A.M. and ends at 5:00 P.M., with a one-hour break for lunch.",promptly,vocally,openly,neutrally,promptly
Many of our employees have reported that they have found the new computer program to be quite ___ .,benefit,benefits,benefitting,beneficial,beneficial
Research grant proposals must be submitted by next Friday and should include a budget and a one-page ___ .,meaning,belief,excursion,abstract,abstract
The GSX offers exceptional ___ while still achieving a fuel efficiency rating better than that of most other vehicles in its class.,performing,performed,performer,performance,performance
"Because it covers nearly every aspect of French cooking, the Bleu School Guide is considered the ___ resource for preparing authentic French cuisine.",selective,expressive,definitive,competitive,definitive
Judges for the science competition stated that choosing a winner from the finalists was a ___ impossible task.,nears,nearing,nearly,neared,nearly
"The company's revenue during the next quarter will increase, ___ the lucrative contract with Kang Securities can be finalized before next month.",as if,whereas,whether,assuming that,assuming that
"As you instructed, we have enclosed the damaged merchandise together ___ a written request for a full refund.",in,by,from,with,with
"Mr. Matthews, a reporter for the International Daily newspaper, will be on ___ assignment until further notice.",special,specialize,specially,specializing,special
The August shipment has just ___ from Busan and is waiting in the receiving dock.,sent,arrived,delayed,examined,arrived
Before the situation was explained to him. Franco ___ believed that the automobile prototype was the finished product.,wrong,wronging,wrongly,wronged,wrongly
The advertisement said that 20 percent would be ___ from the regular price at the time of purchase.,deduct,deducted,deduction,deducting,deducted
Mr. Adams will not be able to complete the report by himself and would appreciate it if someone would volunteer to help ___ .,he,him,himself,his,him
"___ We are seeking volunteers to participate in an upcoming consumer research study for Mayfee Marketing,",significantly,currently,completely,slightly,currently
"___ she loves animals, Ms. Peters is a technician at the Eldridge Veterinary Center.",If,So,Unless,Since,Since
All members of the design team are expected to submit their completed drafts to Ms. Conroy ___ next Friday.,instead of,no later than,although,otherwise,no later than
"For reasons of ___ , anyone entering the construction area must wear a hard hat.",safety,safe,safely,safer,safety
"Hua Husing's achievements in biochemistry were remarkable, ___ considering that he was only twenty-six at the time.",greatly,unusually,especially,positively,especially
Drivers are asked to park ___ cars within the white lines.,their,theirs,they,themselves,their
Ms. Kushida's managers feel that she deserves special ___ for her performance in the last sales campaign.,recognition,accomplishment,capability,balance,recognition
Financial experts note that the mild weather in the last few years has had a ___ effect on agricultural productivity.,clear,clearly,clearing,clearness,clear
Please remember to ___ your account number and signature on all payment checks.,describe,include,contain,involve,include
"Although the two computer processors differ in price, they are ___ in terms of their quality.",compares,comparing,comparison,comparable,comparable
"The Cornwall Times is published weekly by OYC Newspapers, Inc., a ___ of Woodbridge Media Holdings.",division,category,selection,separation,division
"Dr. Kim's acceptance speech is expected to last ___ ten minutes, after which dessert will be served.",fast,about,closely,fairly,about
"Our office secretary had made a backup of the computer files, so the information was ___ successfully after the power failure.",recovered,recover,recovering,recovery,recovered
All commercial catering businesses refrigerate perishable food to ___ it from spoiling.,remove,oppose,prevent,forbid,prevent
"LTD Enterprises is currently seeking an ___ individual to replace the current director, who will be retiring at the end of the month.",accomplished,illustrated,observed,influenced,accomplished
"Due to new restrictions on international travelers, certain types of plants cannot ___ into most countries without a permit.",bring,be brought,brought,bringing,be brought
"In order to keep up with the ___ demand for our products, we will have to hire a minimum of four additional workers.",elaborating,useful,tracking,increasing,increasing
The ___ of the new inventory process has had a significant impact on our management of resources.,habit,adoption,trade,reservation,adoption
"All loose objects, such as bags and laptop computers, must be placed ___ in the overhead bins prior to takeoff.",secure,more secure,securely,security,securely
"___ her time at the university, Dr. LeFleur built a solid reputation for leadership among both students and faculty.",Into,Upon,About,During,During
"___ Ms. Fukui is willing to continue working part-time, she hopes to be offered full-time employment eventually.",While,That,Either,Even,While
It is ___ to hear that our sales department has started to pursue overseas markets aggressively.,encourage,encourages,encouraged,encouraging,encouraging
Genter Electronics has always followed the ___ that the risk involved in developing new technology is one that is worth taking.,conduct,principle,character,order,principle
"The home sales and rental markets should strengthen soon, as ___ usually benefit when the local economy improves.",it,both,that,which,both
"I do not ___ that the shipment schedule will change when our factories relocate, but if it does, I will notify you immediately.",regard,appear,follow,anticipate,anticipate
"___ maintain a stable production facility for the next ten years, Vartacorp is currently negotiating access to new computer technologies.",On behalf of,With regard to,In order to,In hopes of,In order to
All resumes submitted to our human resources department will remain on record for one year from the date of ___ .,receipt,admission,ownership,membership,receipt
We are pleased to announce that Ms. Vieri ___ her new position as market analyst on September 30.,has been starting,will be starting,was started,is being started,will be starting
We may share your mailing address with our subsidiaries for marketing purposes unless you ___ request in writing that we not do so.,specific,specify,specification,specifically,specifically
It is ___ - that the documents be meticulously examined before they are sent out to clients.,immediate,imperative,ultimate,conclusive,imperative
A key ___ still missing from the upcoming presentation to the client is an estimate of the total project cost.,elementary,element,elements,elemental,element
"As the number of local residents' visits to public swimming facilities climbs, ___ the demand for lifeguards to supervise them.",as long as,whereas,so does,as to,so does
It was Joanne Huber's groundbreaking work on the photoelectric effect that ___ her the lifetime excellence award.,honored,achieved,took,won,won
Neither Kato Business Service nor any of its ___ are responsible for the accuracy of this brochure.,affiliate,affiliated,affiliating,affiliates,affiliates
Travelers ___ the local airport in Hopkins complain that there is an urgent need for more parking.,use,using,used,will use,using
"In order to ___ a table for the luncheon, we need to call the cafe by noon.",respond,appoint,reserve,connect,reserve
The younger staff look up to Ms. Itoh because of ___ years of experience in the field of multimedia and graphic design.,she,her,hers,herself,her
"___ you wish to see a complete list of hotel amenities, please refer to the informational binder on the desk in your guest room.",Whether,Despite,If,For,If
The financial briefing for our investors will begin ___ at 9:30 A.M. on Thursday.,precisely,preciseness,precise,precision,precisely
Falco Brand engine parts are put through a ___ inspection process.,dependent,withheld,stringent,founded,stringent
"After thoroughly reviewing all of the resumes, we will ___ which candidates to interview.",determine,determines,determining,determination,determine
Tower Apartments plans to add a recreation complex that will accommodate a swimming pool and other ___ .,facilities,qualities,conventions,categories,facilities
"Unfortunately, the newly manufactured electronic components do not meet the quality ___ of Gem Associates.",requires,requirements,require,requiring,requirements
"For the period ending June 30, the Horizon Stadium Corporation recorded unprecedented revenues from ticket sales, and ___ more from advertising.",all,very,any,even,even
"Under more ___ circumstances, the board of trustees would have approved the budget increase, but this year it was not possible.",favorable,favorably,favor,favorite,favorable
Daniel will be checking the report ___ mistakes before it is submitted to the group manager.,in,for,over,from,for
Mr. Shin updated the company's Web site by ___ because the other programmer had a problem with her password.,itself,herself,themselves,himself,himself
"Beginning August 1, Carla Frist will ___ the company as its attorney in all dealings with the local government.",attend,perform,express,represent,represent
Ms. Chu was extremely ___ to receive the award for outstanding sales performance.,happier,happily,happiest,happy,happy
"___ something is done, traffic congestion on the Winfield Parkway will continue to worsen.",Unless,Also,Except,Therefore,Unless
Mr. Shmidov hired two lawyers to help with future contract ___ .,negotiates,negotiations,negotiator,negotiable,negotiations
Please accept our ___ thanks for the fine work you are doing in our sales department.,original,estimated,sincere,completed,sincere
Any changes in your tax status should be reported to the payroll division ___ so that corrections can be made in a timely fashion.,prompt,promptly,prompted,prompting,promptly
Please check in with Ms. Nakamura's assistant when you arrive so he can ___ her of your arrival.,speak,notify,report,attend,notify
Jenkins Business Review has asked thousands of people in a wide range of professions to describe ___ their jobs entail.,what,how,when,which,what
"___ receiving notice that the director of the Deerfield Orchestra will retire, the board of directors has been searching for a replacement.",Since,While,Once,Because,Since
"Of the subway lines that stop in the central business district, the green line is the ___ to walk to from the Franklin Building.",more easily,easiest,most easily,easy,easiest
Employees of Reconnaissance Corporation who share rides to work will be eligible for special parking privileges ___ Wednesday.,outside,starting on,afterward,instead of,starting on
The senior project manager will be on-site next Thursday and has requested that the editors ___ him in his office at 9:30 A.M.,meet,met,have met,will meet,meet
All hair-care products will be 25 percent off this week ___ celebration of Trey Salon's fifth anniversary.,of,under,at,in,in
The Manila Wellness Center has part-time and temporary employment ___ for certified nursing attendants in our Makati branch.,opens,openings,openness,opener,openings
Companies need to provide year-round training to technical support staff due to ___ improvements in technology.,continuous,prosperous,mature,straight,continuous
Residents argue that another new shopping center in the heart of the city is not ___ sound.,finance,finances,financial,financially,financially
"Metropolitan Herald, the city's leading newspaper, is offering new customers a twenty percent ___ .",economy,retail,market,discount,discount
"Answering customer questions is sometimes difficult to do on ___ , so we have created a list of frequently asked questions.",yours,yourself,your own,you,your own
Maria Gomez submitted her plan for the new transit system ___ the city's board of directors for review.,to,by,along,in,to
"Although our employees did not write the correct address on the shipping form, the machine parts arrived at the dairy farm on ___ .",schedule,appointment,authority,condition,schedule
A thunderstorm ___ by gusty winds is expected to arrive in the northeast region by late afternoon.,will accompany,accompanying,to accompany,accompanied,accompanied
Mr. Garcia called earlier today for ___ that the package he sent on Monday had been received.,confirm,confirming,confirmation,confirmed,confirmation
"After ___ requests by local residents, the private library was opened to the public.",repeated,repeating,repetition,repeatedly,repeated
Advertisements placed by merchants in The Weekly Roundup do not ___ imply endorsement by the management of the newspaper.,barely,highly,gradually,necessarily,necessarily
Sanford Electronics recently installed a new data management system to keep better ___ of customers' orders.,states,marks,points,records,records
"When using the building's side entrance, remember that an alarm will sound if your security code is not entered on the keypad ___ 30 seconds.",under,within,directly,only,within
The Gallo Museum's display of Mexican silver crafts will remain open for a ___ time only.,minor,lower,partial,limited,limited
Mr. Kato left the hotel's telephone number with the airport staff so they could notify ___ when the luggage is found.,him,himself,he,his,him
Conference participants can get to the Wyatt Hotel ___ by train or by bus.,unless,both,either,without,either
Please be aware that annual ___ of job performance will take place during the third week of January.,reviews,reviewed,reviewer,reviewers,reviews
"As of January 1, all managers will be required to ___ at least three professional development seminars per year.",decide,continue,attend,regard,attend
Gryphon Solutions is a growing computer support company ___ to expand its business in East Asia.,simple,frequent,common,eager,eager
We have been given ___ instructions on how Ms. Crane wants this task to be completed.,specific,specifics,specify,specifying,specific
Mario DAmico has been assigned to check the facts ___ Sean McCree types a draft of the report.,also,than,moreover,while,while
The mechanics became more efficient as ___ began using the new technology.,themselves,them,their,they,they
Mr. Ortega has received an ___ to attend the awards ceremony in Brussels next month.,honor,ovation,expression,invitation,invitation
The Milestone Corporation ___ significant revenue increases in several major metropolitan areas over the next decade.,anticipates,anticipating,anticipation,to anticipate,anticipates
The new science museum is expected to ___ many tourists to the city.,attract,value,capture,observe,attract
Mr. Perlmutter has assured the management team that the prototype will be ___ functional by June 9.,complete,completing,completely,completion,completely
"As of October 1, all books borrowed from the Queenstown Library will be ___ three weeks from the checkout date.",owing,due,payable,mature,due
"After her retirement, Lillian will certainly be missed by the numerous colleagues who have benefited from ___ steady judgment in the field of finance.",she,her,hers,herself,her
"To take ___ of the company's free software-upgrade program, customers should mail a copy of their receipt to the address provided.",merit,service,advantage,improvement,advantage
Passengers should have all ___ boarding documents ready to present to airline personnel.,necessary,necessarily,necessity,necessitating,necessary
"___ the order was placed after the sale had ended, no discount will be given.",However,During,Because,Yet,Because
Ms. Baxter would like to meet with all members of the hiring committee again after ___ candidates.,interview,interviews,interviewing,interviewed,interviewing
The environmental commission concluded that there is a ___ for immediate funding to repair the dam.,control,center,look,need,need
The quality of the furniture designed at Oak Valley Company has remained ___ consistent for the  years that the firm has operated.,remarks,remarkably,remarkable,remarked,remarkably
Ms. Ishimura generously offered to ___ the invitation in person rather than send it through the mail.,respond,benefit,commute,deliver,deliver
"Mr. Jefferson has a reputation for taking risks, but his coworkers describe him as reasonably ___ in most aspects of his job.",cautious,cautiously,cautioning,caution,cautious
Club members are allowed to attend the Healthy Living seminar ___ no cost.,at,by,over,from,at
"On Thursday, Ms. Cornado should receive the of the ___ recent survey conducted by the research and development department.",chances,results,matters,events,results
"As ___ in our telephone conversation this morning, Mr. Fox will arrive at your factory at 2 P.M. on Wednesday, March 14.",discuss,discussion,discussing,discussed,discussed
Swabian Motors will ___ its current name even after it merges with a rival company.,receive,inquire,grant,retain,retain
The business consultant stressed that long-term planning is an important consideration for ___ doing business internationally.,it,anyone,yourself,theirs,anyone
"According to company guidelines, new employees are ___ to receive vacation benefits after three months of full-time employment.",capable,variable,flexible,eligible,eligible
Maxwell Real Estate is pleased to announce that prime retail space is now available in two highly ___ properties located in midtown Springfield.,desire,desiring,desirably,desirable,desirable
Please make every effort to welcome the new trainees as you encounter them ___ the next few weeks.,across,between,throughout,among,throughout
Safety ___ must be taken by all laboratory employees while working with chemicals that are potentially harmful.,precautions,rules,abilities,guidelines,precautions
Please contact Ms. Blackwell in the personnel office if you have not received information ___ company reimbursement procedures.,regard,regards,regarding,regarded,regarding
Jane Wiseman has her own publishing company dealing almost ___ with biographies.,exclusively,impulsively,mutually,generously,exclusively
Enclosed is the latest listing of the ___ companies and institutions that use our firm's specialized consulting services.,dlstinguishably,distinguishability,distinguished,distinguish,distinguished
"Deal Travel, inc., acts ___ an agent for the vacation products presented in the brochure.",on,as,by,to,as
A tax expert will come to our company tomorrow to respond to any ___ you have about recent changes in the law.,components,importance,agreement,concerns,concerns
Our service department has received numerous ___ about the new TZ- processor overheating.,complain,complaining,complainer,complaints,complaints
"___ uncomfortable they may be, helmets, goggles, and gloves absolutely must be worn by anyone entering the construction zone.",Almost,Nevertheless,Seldom,However,However
"In order for US to ___ Ms. Brown's suitability as a candidate, she has been asked to supply several letters of reference.",evaluate,persuade,object,compensate,evaluate
All advertising at the National Textile and Garment Convention is subject to ___ by the board of directors.,approve,approvingly,approving,approval,approval
"Try and be a little more cheerful because if you don't bear ___soon, you'll make everyone else miserable.",through,along,up,to,up
We were in a small rowing boat and were terrified that the steamer hadn't seen us as it was bearing ___onus.,down,across,over,under,down
"I fully understand your comments and bearing those in___, I have made the appropriate decision.",brain,mind,thought,sense,mind
"As we have all worked very hard this year, I'm hoping that our efforts will bear ___",produce,benefits,yields,fruit,fruit
We all have our ___to bear so I should be grateful if you would stop complaining all the time.,problems,situations,crosses,results,crosses
There is really nothing much you can do to stop it and I'm afraid you'll just have to___ and bear it.,scorn,grin,laugh,smile,grin
I hope you can be patient for a little longer and bear ___me while I try and solve the problem.,by,on,at,with,with
She has been proved right in everything she did as the report quite clearly bears ___.,out,to,for,onto,out
The judge dismissed the new evidence completely because it had no bearing ___the trial.,to,on,into,by,on
Quite honestly the two cases are so completely different that they really don't bear ___,confirmation,contrast,comprehension,comparison,comparison
"CinemasHer latest film ___its object in a very short space of time, which was to shock.",acquired,got,attained,controlled,attained
The critics ___to praise the work of this director whatever films he makes.,run,continue,persist,insist,continue
The film was the first to show conditions in which poor people lived and as such was to ___future directors.,influence,hold,infect,show,influence
The only reason for them going to the cinema on that day was to find some form of ___,internment,involvement,engrossment,entertainment,entertainment
The director's intention in making the film was to try and ___simplicity as seen by a child.,report,reprehend,represent,comprehend,represent
The fans outside the cinema on the first showing of the film were unwilling to ___until all the stars had gonehome.,dispose,displace,discover,disperse,disperse
The delay in ___the film to the general public was because certain scenes were considered tasteless.,replacing,repeating,releasing,reporting,releasing
The theme of the second film is quite simply a___ of the first.,construction,continuation,continuum,continuing,continuation
In the making of the film the direction is quite ___from the financing of the project.,separate,separation,separately,separates,separate
"Very often someone will give a ___of a film and when you see it for yourself, it's quite different.",describing,describes,described,description,description
ClichesShe's got the kind of job that seems to keep her occupied all the time  24-___,4,5,6,7,7
"___, I couldn't agree with you more.",Totally,Clearly,Finally,Absolutely,Absolutely
I really think we should talk about the subject we wanted to in the first place and ___the issue.,advise,speak,address,talk,address
It's difficult to say exactly how many people are involved but I would say ___.,around,across,through,into,around
It was one of those sights that you never forget it was___,fine,awesome,interesting,clear,awesome
We don't know precisely how much it will cost but I could give a ___figure of 6 million dollars.,ball field,ball place,ball park,ball game,ball park
You fill in those forms on a weekly ___,stand,base,size,basis,basis
I hope you will be patient and ___with me a minute.,stay,hold,bear,maintain,bear
It's difficult to see how to get out of this situation because we're between a rock and a ___place.,difficult,hard,soft,firm,hard
Mistaken IdentityInterviewer: Perhaps you could start by telling us why you've ___,obtained for this job,applied for this job,intended for this job,asked for this job,applied for this job
Candidate: I think the main reason is because I like working in ___,the free air,the clear air,the pure air,the open air,the open air
Interviewer: You mean you like the idea of an office with ___,air control,air managment,air conditioning,air condition,air conditioning
Candidate: I'm sorry I don't understand what you're ___,in about,on about,for about,off about,on about
Interviewer: I should have thought this was ___,clear obvious,mostly obvious,pretty obvious,mainly obvious,pretty obvious
"Candidate: Not to me, ___",it isn't,it can't be,it won't be,it will be,it isn't
"Interviewer: I think there must be a mistake, I ___",put it you're Mr Johnson,take it you're Mr Johnson,place it you're Mr Johnson,try it you're Mr Johnson,take it you're Mr Johnson
Candidate: I'm Mr Jensen. I'm afraid it's a case of ___,mistaken personality,mistaken character,mistaken person,mistaken identity,mistaken identity
"Interviewer: So you're not after the job of guardian, ___",I presume,I pretend,I prefer,I preview,I presume
"Candidate: No, sorry as I said I like working outside, I want to be a gardener, ___",if you don't care,if you don't agree,if you don't mind,if you don't see,if you don't mind
Speaking: At the StationThe train now ___at the platform 6 is the 10.45 for London.,sitting,standing,waiting,remaining,standing
Unfortunately it is now 11 o'clock and so there is a___of 15 minutes already.,waiting,lateness,space,delay,delay
The train for London at platform 6 is still there and is not___ to leave for at least 20 minutes.,intended,expected,proposed,awaited,expected
The small cafe situated near platform 6 is now ___free cups of tea to those waiting for the London train.,discharging,dispensing,offering,disposing,offering
Severe storms last night together with heavy rainfall means that some of the lines of the station are now___,waterlogged,waterproof,water soaked,waterfall,waterlogged
We thought for a moment that the 10.45 for London might be about to catch fire but it was a ___alarm.,wrong,false,difficult,general,false
This is a general notice for all passengers: the restaurant in the main ___is now open.,concord,conduit,concourse,condition,concourse
There was in fact a small fire in the train on platform 6 but we're glad to tell you that the flames have been___,distinguished,dampened,saturated,extinguished,extinguished
We regret to announce that the 10.45 for London is now out of service because the driver is having a nervous___,breakdown,low down,breakout,low break,breakdown
Speaking: At the SupermarketWill the driver of the blue Ford Fiesta XYZ  please___ their car.,send,move,take,tow,move
The reason for this is that the Fiesta is ___our delivery lorry from leaving the premises.,holding,keeping,preventing,promoting,preventing
We ask the___ of this vehicle to go back to their car as soon as possible and park their car in another space.,possessor,possessing,ownership,owner,owner
This is a customer___ We have a special offer at the moment on bananas.,audition,announcement,statement,prediction,announcement
For the next hour it will be possible to buy just one ___of bananas and get one more free.,bunch,branch,hand,group,bunch
"Further to our ___for the Ford Fiesta to be reparked, this matter is now very urgent. Our lorry cannot get out.",saying,asking,request,question,request
We have to inform our customers that the store will be closing in half an hour's___,o'clock,time,hour,duration,time
We would like to ___our customers that over the Christmas period we will be closing an hour earlier thanusual.,remember,retake,repeat,remind,remind
There are now only ten minutes remaining for you to make your ___and go to the checkout.,purchases,buying,sales,selling,purchases
A final ___for the driver of the Ford Fiesta: there is no need now to repark as our delivery lorry has done thatfor you!,note,message,saying,hint,message
"Speaking: At the TheatreLadies and gentlemen, I want to thank you for your ___of our performance.",appearance,appreciation,appeasement,apparition,appreciation
We have done this play many times in different towns but your ___has been the greatest so far.,appointment,application,apposition,applause,applause
We will always remember the way you stood up and ___at some of the speeches in the play.,clapped,clopped,clipped,clammed,clapped
Our leading actor is unable to come on the stage at the moment because he is___ with emotion.,overtaken,overdrawn,overcome,overturned,overcome
Don't worry I'm sure it's only ___and that he'll soon recover before the next performance.,temperate,temporary,contemporary,temporarily,temporary
That is the reason why I am standing here and making this short ___,speak,speaking,spoke,speech,speech
The leading lady is also absent from our stage and you can probably hear her ___her heart out as I speak.,sobbing,soaking,spitting,calling,sobbing
I think that the main ___for all this emotion is probably the way you have reacted to the play.,ratio,reason,ration,rate,reason
You see throughout our ___season we have never received so much laughter as we have from you.,currant,curious,current,curtain,current
The reason for this is possibly that you thought it was a ___but in fact it is a tragedy.,comic,comedy,comedian,comely,comedy
